"","location","people_fully_vaccinated_per_hundred","people_vaccinated_per_hundred","x","xend","y","yend"
"1","Alabama",46.18,56.54,0,46.18,1,1
"2","Alaska",54.23,62.8,0,54.23,2,2
"3","Arizona",54.67,64.3,0,54.67,3,3
"4","Arkansas",49.32,60.46,0,49.32,4,4
"5","California",63.17,78.83,0,63.17,5,5
"6","Colorado",63.25,71.48,0,63.25,6,6
"7","Connecticut",72,84.09,0,72,7,7
"8","Delaware",61.6,73.07,0,61.6,8,8
"9","Florida",61.39,71.81,0,61.39,9,9
"10","Georgia",49.63,59.05,0,49.63,10,10
"11","Hawaii",61.01,82.09,0,61.01,11,11
"12","Idaho",45.22,50.73,0,45.22,12,12
"13","Illinois",61.72,69.44,0,61.72,13,13
"14","Indiana",50.58,55.67,0,50.58,14,14
"15","Iowa",56.73,62.62,0,56.73,15,15
"16","Kansas",54.65,66.22,0,54.65,16,16
"17","Kentucky",52.13,60.25,0,52.13,17,17
"18","Louisiana",48.89,55.58,0,48.89,18,18
"19","Maine",72.3,82.02,0,72.3,19,19
"20","Maryland",67.56,76.94,0,67.56,20,20
"21","Massachusetts",71.18,85.78,0,71.18,21,21
"22","Michigan",54.59,61.23,0,54.59,22,22
"23","Minnesota",62.48,69.03,0,62.48,23,23
"24","Mississippi",46.9,53.71,0,46.9,24,24
"25","Missouri",50.93,59.72,0,50.93,25,25
"26","Montana",51.86,59.78,0,51.86,26,26
"27","Nebraska",57.41,64.13,0,57.41,27,27
"28","Nevada",54.5,66.44,0,54.5,28,28
"29","New Hampshire",64.78,87.6,0,64.78,29,29
"30","New Jersey",67.82,79.13,0,67.82,30,30
"31","New Mexico",63.52,76.57,0,63.52,31,31
"32","New York State",68.5,78.24,0,68.5,32,32
"33","North Carolina",54.21,70.28,0,54.21,33,33
"34","North Dakota",48.76,57.95,0,48.76,34,34
"35","Ohio",53.04,58.38,0,53.04,35,35
"36","Oklahoma",51.53,62.83,0,51.53,36,36
"37","Oregon",64.01,71.46,0,64.01,37,37
"38","Pennsylvania",58.42,81.67,0,58.42,38,38
"39","Rhode Island",72.58,83.2,0,72.58,39,39
"40","South Carolina",51.4,60.27,0,51.4,40,40
"41","South Dakota",54.64,66.99,0,54.64,41,41
"42","Tennessee",49.55,56.84,0,49.55,42,42
"43","Texas",54.7,64.09,0,54.7,43,43
"44","Utah",55.3,63.89,0,55.3,44,44
"45","Vermont",72.88,85.45,0,72.88,45,45
"46","Virginia",64.94,75.58,0,64.94,46,46
"47","Washington",65.04,72.91,0,65.04,47,47
"48","West Virginia",41.54,53.91,0,41.54,48,48
"49","Wisconsin",59.5,65.82,0,59.5,49,49
"50","Wyoming",45.57,53.65,0,45.57,50,50
